問題ID,回数,検定回,実施日,級,問題番号,枝番,形式,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,正解本文,注意,出典,全文
R23-Q019,23,第23回,2026-03-08,1級・2級共通,19,,選択,江戸時代の国内の海路として正しいのは次のどれでしょうか。,江戸〜大坂間の東海路,東北〜大坂間の西海路,東北・蝦夷地〜江戸間の北海路,江戸〜尾張間の尾張海路,②,東北〜大坂間の西海路,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問19】
江戸時代の国内の海路として正しいのは次のどれでしょうか。
① 江戸〜大坂間の東海路
② 東北〜大坂間の西海路
③ 東北・蝦夷地〜江戸間の北海路
④ 江戸〜尾張間の尾張海路
正解: ② 東北〜大坂間の西海路"
R23-Q020,23,第23回,2026-03-08,1級・2級共通,20,,選択,次の中で小樽市における日本遺産「北前船」の構成文化財ではないのはどれでしょうか。,津古丹稲荷神社本殿,西川家文書,旧客陽亭,旧増田倉庫,①,津古丹稲荷神社本殿,選択肢1・3の固有名詞はOCR不鮮明,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問20】
次の中で小樽市における日本遺産「北前船」の構成文化財ではないのはどれでしょうか。
① 津古丹稲荷神社本殿
② 西川家文書
③ 旧客陽亭
④ 旧増田倉庫
正解: ① 津古丹稲荷神社本殿"
R23-Q021,23,第23回,2026-03-08,1級・2級共通,21,,選択,次の文中の（ ）に当てはまる語句を選びなさい。北陸地方の北前船の船乗りたちの給料は大変少ないうえ、遭難も多い危険な仕事でした。そこで、積み荷の約1割は船乗りの個人商売を認めるという（ ）とか「帆待ち」と呼ばれた抜け道がありました。船乗りたちはこれを利用し金銭を蓄え独立していきました。,切出し,直払の口,売りさばき,蔵敷,①,切出し,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問21】
次の文中の（ ）に当てはまる語句を選びなさい。北陸地方の北前船の船乗りたちの給料は大変少ないうえ、遭難も多い危険な仕事でした。そこで、積み荷の約1割は船乗りの個人商売を認めるという（ ）とか「帆待ち」と呼ばれた抜け道がありました。船乗りたちはこれを利用し金銭を蓄え独立していきました。
① 切出し
② 直払の口
③ 売りさばき
④ 蔵敷
正解: ① 切出し"
R23-Q022,23,第23回,2026-03-08,1級・2級共通,22,,選択,北前船が大坂から蝦夷地へ向かうのを「下り」、その逆を「上り」といいますが、次のなかで間違っているのはどれでしょうか。,下り荷には紙も積まれていた,下り荷にはワラも積まれていた,上り荷には塩も積まれていた,上り荷にはイリコも積まれていた,③,上り荷には塩も積まれていた,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問22】
北前船が大坂から蝦夷地へ向かうのを「下り」、その逆を「上り」といいますが、次のなかで間違っているのはどれでしょうか。
① 下り荷には紙も積まれていた
② 下り荷にはワラも積まれていた
③ 上り荷には塩も積まれていた
④ 上り荷にはイリコも積まれていた
正解: ③ 上り荷には塩も積まれていた"
R23-Q023-A,23,第23回,2026-03-08,1級・2級共通,23,A,選択,この写真は、北運河にある北前船主の倉庫です。（ ）内に該当する番号を選びなさい。この北前船主は（A）出身で明治中期には6〜8隻の北前船を所有していました。この北前船主は後に（B）らとともに日本海上火災保険株式会社を創設し取締役に就任します。【A：出身地】,石川県加賀市橋立町,石川県加賀市大聖寺,福井県南条郡南越前町,福井県小浜市,③,福井県南条郡南越前町,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問23A】
この写真は、北運河にある北前船主の倉庫です。（ ）内に該当する番号を選びなさい。この北前船主は（A）出身で明治中期には6〜8隻の北前船を所有していました。この北前船主は後に（B）らとともに日本海上火災保険株式会社を創設し取締役に就任します。【A：出身地】
① 石川県加賀市橋立町
② 石川県加賀市大聖寺
③ 福井県南条郡南越前町
④ 福井県小浜市
正解: ③ 福井県南条郡南越前町"
R23-Q023-B,23,第23回,2026-03-08,1級・2級共通,23,B,選択,この写真は、北運河にある北前船主の倉庫です。（ ）内に該当する番号を選びなさい。この北前船主は（A）出身で明治中期には6〜8隻の北前船を所有していました。この北前船主は後に（B）らとともに日本海上火災保険株式会社を創設し取締役に就任します。【B：人物】,西出孫左衛門,広海二三郎,銭屋五兵衛,浜中八三朗,②,広海二三郎,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問23B】
この写真は、北運河にある北前船主の倉庫です。（ ）内に該当する番号を選びなさい。この北前船主は（A）出身で明治中期には6〜8隻の北前船を所有していました。この北前船主は後に（B）らとともに日本海上火災保険株式会社を創設し取締役に就任します。【B：人物】
① 西出孫左衛門
② 広海二三郎
③ 銭屋五兵衛
④ 浜中八三朗
正解: ② 広海二三郎"
R23-Q024,23,第23回,2026-03-08,1級・2級共通,24,,記述,小樽での日本遺産「北前船」の構成文化財には船絵馬があります。次の文章を読みこの船絵馬が奉納されているのは何というお寺でしょうか。このお寺は文久2(1862)年に開創し、本堂は小樽市指定歴史的建造物になっています。本殿左脇の龍神堂内には船絵馬が3面奉納されています。龍神堂正面には越前産の笏谷石製の狛犬、境内地には笏谷石製の三十三観音が設置されています。,,,,,徳源寺,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問24】
小樽での日本遺産「北前船」の構成文化財には船絵馬があります。次の文章を読みこの船絵馬が奉納されているのは何というお寺でしょうか。このお寺は文久2(1862)年に開創し、本堂は小樽市指定歴史的建造物になっています。本殿左脇の龍神堂内には船絵馬が3面奉納されています。龍神堂正面には越前産の笏谷石製の狛犬、境内地には笏谷石製の三十三観音が設置されています。
正解: 徳源寺"
R23-Q025-A,23,第23回,2026-03-08,1級・2級共通,25,A,記述,ある北前船主の説明です。文中の（ ）に当てはまる語句を記入しなさい。石川県加賀市橋立町出身で小樽に海運会社を設立。日露戦争後の海運発展に乗じ、「（A）の回漕店」といわれるようになった。天狗山麓にある金昆羅大本院はこの北前船主の農場の敷地内で祀ったものです。現在の（B）小学校付近にあった千登勢温泉は別荘でした。,,,,,東洋一,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問25A】
ある北前船主の説明です。文中の（ ）に当てはまる語句を記入しなさい。石川県加賀市橋立町出身で小樽に海運会社を設立。日露戦争後の海運発展に乗じ、「（A）の回漕店」といわれるようになった。天狗山麓にある金昆羅大本院はこの北前船主の農場の敷地内で祀ったものです。現在の（B）小学校付近にあった千登勢温泉は別荘でした。
正解: 東洋一"
R23-Q025-B,23,第23回,2026-03-08,1級・2級共通,25,B,記述,ある北前船主の説明です。文中の（ ）に当てはまる語句を記入しなさい。石川県加賀市橋立町出身で小樽に海運会社を設立。日露戦争後の海運発展に乗じ、「（A）の回漕店」といわれるようになった。天狗山麓にある金昆羅大本院はこの北前船主の農場の敷地内で祀ったものです。現在の（B）小学校付近にあった千登勢温泉は別荘でした。,,,,,山の手,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問25B】
ある北前船主の説明です。文中の（ ）に当てはまる語句を記入しなさい。石川県加賀市橋立町出身で小樽に海運会社を設立。日露戦争後の海運発展に乗じ、「（A）の回漕店」といわれるようになった。天狗山麓にある金昆羅大本院はこの北前船主の農場の敷地内で祀ったものです。現在の（B）小学校付近にあった千登勢温泉は別荘でした。
正解: 山の手"
R23-Q026,23,第23回,2026-03-08,1級・2級共通,26,,記述,次の文章は北前船交易によりもたらされた文化です。それは何というものでしょうか。江戸時代宝永年間に商業が盛んになると販売促進のために登場した1枚物の商業印刷物です。浮世絵の影響を受けた多色刷りや絵画的芸術性の高いものも配布されました。,,,,,引札,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問26】
次の文章は北前船交易によりもたらされた文化です。それは何というものでしょうか。江戸時代宝永年間に商業が盛んになると販売促進のために登場した1枚物の商業印刷物です。浮世絵の影響を受けた多色刷りや絵画的芸術性の高いものも配布されました。
正解: 引札"
R23-Q027,23,第23回,2026-03-08,1級・2級共通,27,,選択,次の文章は小樽で活躍した商人を説明しています。この商人の名前を選びなさい。「松前藩の城下町福山に生まれる。明治15(1882)年、所有地の相生町から水天宮の西福を通って堺町のオコバチ川までの道路を造成した。小樽商業会議所の初代会頭でした。」,山田兵蔵,山田吉兵衛,石橋彦三郎,寿原猪之吉,②,山田吉兵衛,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問27】
次の文章は小樽で活躍した商人を説明しています。この商人の名前を選びなさい。「松前藩の城下町福山に生まれる。明治15(1882)年、所有地の相生町から水天宮の西福を通って堺町のオコバチ川までの道路を造成した。小樽商業会議所の初代会頭でした。」
① 山田兵蔵
② 山田吉兵衛
③ 石橋彦三郎
④ 寿原猪之吉
正解: ② 山田吉兵衛"
R23-Q028,23,第23回,2026-03-08,1級・2級共通,28,,選択,次の写真の中で、小樽で活躍した商人の高橋直治に関係する建物はどれでしょうか。,,,,,2,,選択肢が写真のためテキスト化不可。正解番号のみ収録,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問28】
次の写真の中で、小樽で活躍した商人の高橋直治に関係する建物はどれでしょうか。
正解: 2"
R23-Q029,23,第23回,2026-03-08,1級・2級共通,29,,選択,次の建物の中で、小樽で活躍した商人（「おたる案内人」公式テキスト内）と関連のないものはどれでしょうか。（建物名は現在名）,小樽オルゴール堂本館,おたる瑠璃工房運河店,小樽市公会堂,猪股邸,④,猪股邸,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問29】
次の建物の中で、小樽で活躍した商人（「おたる案内人」公式テキスト内）と関連のないものはどれでしょうか。（建物名は現在名）
① 小樽オルゴール堂本館
② おたる瑠璃工房運河店
③ 小樽市公会堂
④ 猪股邸
正解: ④ 猪股邸"
R23-Q030,23,第23回,2026-03-08,1級・2級共通,30,,選択,小樽で活躍した商人たちは、まちに寄付をして貢献しました。商人名と寄付したものの組合せで正しいのはどれでしょうか。,藤山要吉……小樽市民会館,2代目板谷宮吉……小樽中学校,高橋直治……小樽区公会堂,土肥太吉……小樽市庁舎,④,土肥太吉……小樽市庁舎,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問30】
小樽で活躍した商人たちは、まちに寄付をして貢献しました。商人名と寄付したものの組合せで正しいのはどれでしょうか。
① 藤山要吉……小樽市民会館
② 2代目板谷宮吉……小樽中学校
③ 高橋直治……小樽区公会堂
④ 土肥太吉……小樽市庁舎
正解: ④ 土肥太吉……小樽市庁舎"
R23-Q031,23,第23回,2026-03-08,1級・2級共通,31,,記述,堺町通りにある「おたる瑠璃工房運河店」は小樽商人が残した建物で、現在は店舗として活用されています。かつてこの商人は小樽で最初の新聞を発行しました。その新聞名を書きなさい。,,,,,北門新報,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問31】
堺町通りにある「おたる瑠璃工房運河店」は小樽商人が残した建物で、現在は店舗として活用されています。かつてこの商人は小樽で最初の新聞を発行しました。その新聞名を書きなさい。
正解: 北門新報"
R23-Q032,23,第23回,2026-03-08,1級・2級共通,32,,選択,小樽で活躍した商人のなかで、商工会議所（商業会議所も含む）の会頭になっていないのは次のどれでしょうか。,倉橋大介,藤山要吉,磯野進,木村円吉（6代目）,①,倉橋大介,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問32】
小樽で活躍した商人のなかで、商工会議所（商業会議所も含む）の会頭になっていないのは次のどれでしょうか。
① 倉橋大介
② 藤山要吉
③ 磯野進
④ 木村円吉（6代目）
正解: ① 倉橋大介"
R23-Q033,23,第23回,2026-03-08,1級・2級共通,33,,記述,小樽港は海上輸送網の拠点として位置づけられている港で、国際または国内海上輸送網の拠点となる港湾とされています。国の利害に重大な関係がある港湾で、港湾法に基づいて政令で定められています。このような港湾を何というでしょうか。,,,,,重要港湾,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問33】
小樽港は海上輸送網の拠点として位置づけられている港で、国際または国内海上輸送網の拠点となる港湾とされています。国の利害に重大な関係がある港湾で、港湾法に基づいて政令で定められています。このような港湾を何というでしょうか。
正解: 重要港湾"
R23-Q034,23,第23回,2026-03-08,1級・2級共通,34,,選択,明治13(1880)年、当時の大型の船が接岸できる桟橋が手宮に建設されました。この桟橋の長さは次のどれでしょうか。,約130m,約230m,約330m,約430m,④,約430m,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問34】
明治13(1880)年、当時の大型の船が接岸できる桟橋が手宮に建設されました。この桟橋の長さは次のどれでしょうか。
① 約130m
② 約230m
③ 約330m
④ 約430m
正解: ④ 約430m"
R23-Q035,23,第23回,2026-03-08,1級・2級共通,35,,記述,明治22(1889)年、小樽港は米、麦、麦粉、石炭、硫黄の5品目に限り、日本船または日本人雇用の外国船により輸出できる港となりました。このような港のことを何というでしょうか。,,,,,特別輸出港,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問35】
明治22(1889)年、小樽港は米、麦、麦粉、石炭、硫黄の5品目に限り、日本船または日本人雇用の外国船により輸出できる港となりました。このような港のことを何というでしょうか。
正解: 特別輸出港"
R23-Q036,23,第23回,2026-03-08,1級・2級共通,36,,選択,小樽港の整備は、明治25(1892)年、第4代北海道庁長官が、小樽に近代的な港湾建設をと国に意見書を提出したことで、試験工事を経て本格的な工事が始まりました。本格的な小樽築港第一期工事が始まったのは次のどれでしょうか。,明治26(1893)年,明治28(1895)年,明治30(1897)年,明治32(1899)年,③,明治30(1897)年,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問36】
小樽港の整備は、明治25(1892)年、第4代北海道庁長官が、小樽に近代的な港湾建設をと国に意見書を提出したことで、試験工事を経て本格的な工事が始まりました。本格的な小樽築港第一期工事が始まったのは次のどれでしょうか。
① 明治26(1893)年
② 明治28(1895)年
③ 明治30(1897)年
④ 明治32(1899)年
正解: ③ 明治30(1897)年"
R23-Q037,23,第23回,2026-03-08,1級・2級共通,37,,選択,小樽築港第一期工事で北防波堤が完成しました。完成まで要した年数は次のどれでしょうか。,7年,9年,11年,13年,③,11年,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問37】
小樽築港第一期工事で北防波堤が完成しました。完成まで要した年数は次のどれでしょうか。
① 7年
② 9年
③ 11年
④ 13年
正解: ③ 11年"
R23-Q038,23,第23回,2026-03-08,1級・2級共通,38,,選択,小樽港の工事に大きく貢献した廣井勇についての説明で正しいものはどれですか。,廣井勇はフランスに留学し橋梁設計を学び幌内鉄道建設にも関わった,廣井勇は愛媛県出身で、伊藤長右衛門と同郷だった,廣井勇は明治32(1899)年から東京帝国大学教授も兼任し、後進を育成した,廣井勇の札幌農学校時代の同期生は、後に北海道帝国大学初代総長になった佐藤昌介,③,廣井勇は明治32(1899)年から東京帝国大学教授も兼任し、後進を育成した,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問38】
小樽港の工事に大きく貢献した廣井勇についての説明で正しいものはどれですか。
① 廣井勇はフランスに留学し橋梁設計を学び幌内鉄道建設にも関わった
② 廣井勇は愛媛県出身で、伊藤長右衛門と同郷だった
③ 廣井勇は明治32(1899)年から東京帝国大学教授も兼任し、後進を育成した
④ 廣井勇の札幌農学校時代の同期生は、後に北海道帝国大学初代総長になった佐藤昌介
正解: ③ 廣井勇は明治32(1899)年から東京帝国大学教授も兼任し、後進を育成した"
R23-Q039,23,第23回,2026-03-08,1級・2級共通,39,,選択,小樽築港第一期工事の北防波堤の建設は、当時の土木技術の粋を集めて建設されました。以下の説明で正しいものはどれですか。,コンクリートブロックの長期にわたる耐久性が明らかでなかったので、日本古来からの治水技術を導入した伝統的な工事を行い完成させた,日本の技術者だけでは近代的な防波堤を造ることができなかったので、お雇外国人のC.S.メークが用いた工事手法を導入して建設に成功した,コンクリートを使った防波堤建設の失敗などが他の港で続いたので、全て石の斜め積みによる防波堤を建設した,廣井勇が初代の築港所長となり、様々な調査や実験を経て、日本で初めてのコンクリートを用いた外洋防波堤の建設に成功した,④,廣井勇が初代の築港所長となり、様々な調査や実験を経て、日本で初めてのコンクリートを用いた外洋防波堤の建設に成功した,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問39】
小樽築港第一期工事の北防波堤の建設は、当時の土木技術の粋を集めて建設されました。以下の説明で正しいものはどれですか。
① コンクリートブロックの長期にわたる耐久性が明らかでなかったので、日本古来からの治水技術を導入した伝統的な工事を行い完成させた
② 日本の技術者だけでは近代的な防波堤を造ることができなかったので、お雇外国人のC.S.メークが用いた工事手法を導入して建設に成功した
③ コンクリートを使った防波堤建設の失敗などが他の港で続いたので、全て石の斜め積みによる防波堤を建設した
④ 廣井勇が初代の築港所長となり、様々な調査や実験を経て、日本で初めてのコンクリートを用いた外洋防波堤の建設に成功した
正解: ④ 廣井勇が初代の築港所長となり、様々な調査や実験を経て、日本で初めてのコンクリートを用いた外洋防波堤の建設に成功した"
R23-Q040,23,第23回,2026-03-08,1級・2級共通,40,,選択,北海道の鉄道建設に関わった人物とその主な役割の組み合わせで間違っているのはどれでしょうか。,榎本武揚……開拓使物産取調掛,黒田清隆……第2代開拓長官,ライマン……地質学者,クロフォード……鉄道技師長,②,黒田清隆……第2代開拓長官,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問40】
北海道の鉄道建設に関わった人物とその主な役割の組み合わせで間違っているのはどれでしょうか。
① 榎本武揚……開拓使物産取調掛
② 黒田清隆……第2代開拓長官
③ ライマン……地質学者
④ クロフォード……鉄道技師長
正解: ② 黒田清隆……第2代開拓長官"
R23-Q041,23,第23回,2026-03-08,1級・2級共通,41,,記述,神居古潭の道路開削と短距離の鉄道建設にあたって開拓使が招聘した技師がクロフォードでした。ただ、招聘された段階では幌内炭田から石炭搬出経路開発の主人公となる人物が他にいました。その人物とはだれでしょうか。,,,,,ゲント,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問41】
神居古潭の道路開削と短距離の鉄道建設にあたって開拓使が招聘した技師がクロフォードでした。ただ、招聘された段階では幌内炭田から石炭搬出経路開発の主人公となる人物が他にいました。その人物とはだれでしょうか。
正解: ゲント"
R23-Q042,23,第23回,2026-03-08,1級・2級共通,42,,選択,明治12(1879)年、開拓使は札樽間の道路建設を命じます。クロフォードはこの工事をどのくらいの期間で完成させたでしょうか。,5ヶ月,7ヶ月,11ヶ月,1年,①,5ヶ月,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問42】
明治12(1879)年、開拓使は札樽間の道路建設を命じます。クロフォードはこの工事をどのくらいの期間で完成させたでしょうか。
① 5ヶ月
② 7ヶ月
③ 11ヶ月
④ 1年
正解: ① 5ヶ月"
R23-Q043,23,第23回,2026-03-08,1級・2級共通,43,,選択,小樽、幌内間の鉄道敷設のルート決定をうけ、本格的な鉄道工事は若竹第三トンネルの開削から始まりました。この工事を指揮したのは次の誰でしょうか。,平井晴二郎,松本荘一郎,広井勇,ペリー,②,松本荘一郎,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問43】
小樽、幌内間の鉄道敷設のルート決定をうけ、本格的な鉄道工事は若竹第三トンネルの開削から始まりました。この工事を指揮したのは次の誰でしょうか。
① 平井晴二郎
② 松本荘一郎
③ 広井勇
④ ペリー
正解: ② 松本荘一郎"
R23-Q044,23,第23回,2026-03-08,1級・2級共通,44,,選択,北海道鉄道の工事は明治34(1901)年、大沼幅下トンネルと忍路トンネルの開削から始まりました。北海道鉄道が全線開通したのは次のどれでしょうか。,明治34(1901)年,明治35(1902)年,明治36(1903)年,明治37(1904)年,④,明治37(1904)年,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問44】
北海道鉄道の工事は明治34(1901)年、大沼幅下トンネルと忍路トンネルの開削から始まりました。北海道鉄道が全線開通したのは次のどれでしょうか。
① 明治34(1901)年
② 明治35(1902)年
③ 明治36(1903)年
④ 明治37(1904)年
正解: ④ 明治37(1904)年"
R23-Q045,23,第23回,2026-03-08,1級・2級共通,45,,選択,幌内鉄道の手宮〜札幌間の開通時には4つの駅しかありませんでした。正しいのは次のどれでしょうか。,手宮〜開運町〜朝里〜札幌,手宮〜朝里〜軽川〜札幌,手宮〜朝里〜銭函〜札幌,手宮〜開運町〜銭函〜札幌,④,手宮〜開運町〜銭函〜札幌,選択肢3・4の駅名はOCRで「録画」と誤読、「銭函」と判断,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問45】
幌内鉄道の手宮〜札幌間の開通時には4つの駅しかありませんでした。正しいのは次のどれでしょうか。
① 手宮〜開運町〜朝里〜札幌
② 手宮〜朝里〜軽川〜札幌
③ 手宮〜朝里〜銭函〜札幌
④ 手宮〜開運町〜銭函〜札幌
正解: ④ 手宮〜開運町〜銭函〜札幌"
R23-Q046,23,第23回,2026-03-08,1級・2級共通,46,,選択,幌内鉄道に導入された蒸気機関車は6号まで「和名」がつけられていました。次の4つの中で正しいのはどれでしょうか。,1号「義経」2号「弁慶」3号「比羅夫」,1号「義経」2号「しづか」3号「弁慶」,1号「弁慶」2号「義経」6号「しづか」,1号「弁慶」2号「義経」4号「比羅夫」,①,1号「義経」2号「弁慶」3号「比羅夫」,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問46】
幌内鉄道に導入された蒸気機関車は6号まで「和名」がつけられていました。次の4つの中で正しいのはどれでしょうか。
① 1号「義経」2号「弁慶」3号「比羅夫」
② 1号「義経」2号「しづか」3号「弁慶」
③ 1号「弁慶」2号「義経」6号「しづか」
④ 1号「弁慶」2号「義経」4号「比羅夫」
正解: ① 1号「義経」2号「弁慶」3号「比羅夫」"
R23-Q047,23,第23回,2026-03-08,1級・2級共通,47,,記述,現在のJR小樽駅のホームやコンコース、通路には北一硝子さんが寄贈したランプが設置されています。その数は何個でしょうか。（文化庁：日本遺産ポータルサイトより）,,,,,333個,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問47】
現在のJR小樽駅のホームやコンコース、通路には北一硝子さんが寄贈したランプが設置されています。その数は何個でしょうか。（文化庁：日本遺産ポータルサイトより）
正解: 333個"
R23-Q048,23,第23回,2026-03-08,1級・2級共通,48,,記述,小樽運河保存運動が立ち上がるきっかけとなったのは、札樽自動車道の延長幹線道路建設で当時、有幌にあった石造倉庫群が次々に取り壊されたことでした。この工事が行われた年はいつでしょうか。,,,,,昭和47年または1972年,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問48】
小樽運河保存運動が立ち上がるきっかけとなったのは、札樽自動車道の延長幹線道路建設で当時、有幌にあった石造倉庫群が次々に取り壊されたことでした。この工事が行われた年はいつでしょうか。
正解: 昭和47年または1972年"
R23-Q049,23,第23回,2026-03-08,1級・2級共通,49,,選択,昭和51(1976)年、道路建設による運河埋め立てを危惧し、「小樽運河を守る会」の発起人会が正式に発足しました。この時、初代会長になったのは次のどれでしょうか。,峯山冨美,越崎宗一,西村幸雄,小川原格,②,越崎宗一,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問49】
昭和51(1976)年、道路建設による運河埋め立てを危惧し、「小樽運河を守る会」の発起人会が正式に発足しました。この時、初代会長になったのは次のどれでしょうか。
① 峯山冨美
② 越崎宗一
③ 西村幸雄
④ 小川原格
正解: ② 越崎宗一"
R23-Q050,23,第23回,2026-03-08,1級・2級共通,50,,記述,次の文章は現在の小樽運河に架かる橋の説明です。橋の名称を書きなさい。「小樽運河に架かる橋の中では他の橋より高さがあり遊漁船も航行できます。橋のたもとには小樽出身の彫刻家、斎藤吉郎さんの作品「カモメ呼ぶ少女」像があります。」,,,,,北浜橋,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問50】
次の文章は現在の小樽運河に架かる橋の説明です。橋の名称を書きなさい。「小樽運河に架かる橋の中では他の橋より高さがあり遊漁船も航行できます。橋のたもとには小樽出身の彫刻家、斎藤吉郎さんの作品「カモメ呼ぶ少女」像があります。」
正解: 北浜橋"
R23-Q051,23,第23回,2026-03-08,1級・2級共通,51,,選択,運河埋め立ての着工直前、保存派による署名活動が行われました。その結果は次のどれでしょうか。,1ヶ月間で3万7千人の署名を集めた,1ヶ月間で5万7千人の署名を集めた,2ヶ月間で9万7千人の署名を集めた,2ヶ月間で10万7千人の署名を集めた,③,2ヶ月間で9万7千人の署名を集めた,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問51】
運河埋め立ての着工直前、保存派による署名活動が行われました。その結果は次のどれでしょうか。
① 1ヶ月間で3万7千人の署名を集めた
② 1ヶ月間で5万7千人の署名を集めた
③ 2ヶ月間で9万7千人の署名を集めた
④ 2ヶ月間で10万7千人の署名を集めた
正解: ③ 2ヶ月間で9万7千人の署名を集めた"
R23-Q052-A,23,第23回,2026-03-08,1級・2級共通,52,A,記述,（ ）内に該当する語句を記入しなさい。明治10年代の庶民の住宅は簡易な木造で建てられ屋根は板を葺いて（A）が置かれていました。また手宮の鉄道に関わる施設は西洋風の木造で外壁を（B）にして窓の戸は上下させる縦長窓でした。,,,,,石,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問52A】
（ ）内に該当する語句を記入しなさい。明治10年代の庶民の住宅は簡易な木造で建てられ屋根は板を葺いて（A）が置かれていました。また手宮の鉄道に関わる施設は西洋風の木造で外壁を（B）にして窓の戸は上下させる縦長窓でした。
正解: 石"
R23-Q052-B,23,第23回,2026-03-08,1級・2級共通,52,B,記述,（ ）内に該当する語句を記入しなさい。明治10年代の庶民の住宅は簡易な木造で建てられ屋根は板を葺いて（A）が置かれていました。また手宮の鉄道に関わる施設は西洋風の木造で外壁を（B）にして窓の戸は上下させる縦長窓でした。,,,,,横板張り又は下見板張り,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問52B】
（ ）内に該当する語句を記入しなさい。明治10年代の庶民の住宅は簡易な木造で建てられ屋根は板を葺いて（A）が置かれていました。また手宮の鉄道に関わる施設は西洋風の木造で外壁を（B）にして窓の戸は上下させる縦長窓でした。
正解: 横板張り又は下見板張り"
R23-Q053,23,第23回,2026-03-08,1級・2級共通,53,,記述,明治37(1904)年の稲穂の大火を契機に市街地の主要な建物は木骨石造へ一気に転換しました。色内にある木骨石造の旧早川支店には防火対策として建物正面左側にあるものが設置されています。そこには鯉や亀などの彫刻がほどこされています。この設置されているものは何というでしょうか。,,,,,うだつ又は袖壁,,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問53】
明治37(1904)年の稲穂の大火を契機に市街地の主要な建物は木骨石造へ一気に転換しました。色内にある木骨石造の旧早川支店には防火対策として建物正面左側にあるものが設置されています。そこには鯉や亀などの彫刻がほどこされています。この設置されているものは何というでしょうか。
正解: うだつ又は袖壁"
R23-Q054,23,第23回,2026-03-08,1級・2級共通,54,,選択,明治16(1883)年から始まった手宮の鉄道施設の建造物に使われた建築材料は火災から施設を守るためでした。この材料は入船の陸橋と手宮の倉庫、さらに現在、国指定重要文化財になっている機関車庫にも使われました。この材料は次のどれでしょうか。,小樽の軟石,札幌軟石,コンクリートブロック,レンガ,④,レンガ,,23-問題.pdf / 23_回答.pdf,"【第23回 おたる案内人検定 問54】
明治16(1883)年から始まった手宮の鉄道施設の建造物に使われた建築材料は火災から施設を守るためでした。この材料は入船の陸橋と手宮の倉庫、さらに現在、国指定重要文化財になっている機関車庫にも使われました。この材料は次のどれでしょうか。
① 小樽の軟石
② 札幌軟石
③ コンクリートブロック
④ レンガ
正解: ④ レンガ"
